,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Difference
45,2018-03-27,34.25,34.70999908,32.83000183,33.31000137,4877000,0,0,-2.74%
46,2018-03-28,33,33.27000046,31.37000084,32.25,5396800,0,0,-2.27%
47,2018-03-29,32.29999924,34.20999908,31.95000076,33.65999985,5261700,0,0,4.21%
48,2018-04-02,32.79000092,33.24000168,31.5,32.00999832,5266100,0,0,-2.38%
49,2018-04-03,32.20999908,33.02000046,27.53000069,27.98999977,10178100,0,0,-13.10%
50,2018-04-04,27.30999947,28.79999924,25.35000038,27.63999939,13509100,0,0,1.21%
51,2018-04-05,28.35000038,29.04999924,27.22999954,28.48999977,7526800,0,0,0.49%
52,2018-04-06,28.01000023,28.17000008,26.72999954,27.69000053,5612700,0,0,-1.14%
53,2018-04-09,28.04999924,28.17000008,25.63999939,25.73999977,5809100,0,0,-8.24%
54,2018-04-10,25.5,28,23.87999916,27.51000023,11355900,0,0,7.88%
55,2018-04-11,27.52000046,28.45999908,26.87000084,27.65999985,5355200,0,0,0.51%
56,2018-04-12,28.11000061,28.37999916,27.47999954,27.67000008,2740300,0,0,-1.57%
57,2018-04-13,27.89999962,30.64999962,27.46999931,29.84000015,6777900,0,0,6.95%
58,2018-04-16,31.04000092,31.45999908,30.45000076,30.89999962,4953300,0,0,-0.45%
59,2018-04-17,30.85000038,31.29000092,29.54999924,29.86000061,3543700,0,0,-3.21%
60,2018-04-18,30.01000023,30.92000008,29.59000015,30.60000038,3139400,0,0,1.97%
61,2018-04-19,30.31999969,30.62000084,29.63999939,30.25,3397900,0,0,-0.23%
62,2018-04-20,30.22999954,30.87999916,29.88999939,30.01000023,3025100,0,0,-0.73%
63,2018-04-23,29.79999924,30.27000046,27.95999908,28.14999962,4210300,0,0,-5.54%
64,2018-04-24,28.07999992,28.87999916,27.73999977,28.23999977,2598400,0,0,0.57%
65,2018-04-25,28.26000023,28.39999962,27.04999924,27.25,2544600,0,0,-3.57%
66,2018-04-26,27.54000092,27.82999992,27.03000069,27.23999977,1780800,0,0,-1.09%
67,2018-04-27,27.45999908,27.48999977,27,27.34000015,1142600,0,0,-0.44%
68,2018-04-30,27.79000092,30.12000084,27.5,30.11000061,4341600,0,0,8.35%
69,2018-05-01,29.62000084,29.94000053,29.04999924,29.48999977,2512700,0,0,-0.44%
70,2018-05-02,29.37999916,30.70000076,28.76000023,29.67000008,3592100,0,0,0.99%
71,2018-05-03,29.01000023,30.39999962,29.01000023,29.95999908,2796100,0,0,3.27%
72,2018-05-04,30.09000015,30.59000015,29.72999954,29.96999931,2366100,0,0,-0.40%
73,2018-05-07,30.28000069,30.92000008,30.12999916,30.25,2903000,0,0,-0.10%
74,2018-05-08,30.30999947,30.79000092,29.5,29.62999916,3048200,0,0,-2.24%
75,2018-05-09,29.75,30.21999931,29.56999969,29.87000084,1982600,0,0,0.40%
76,2018-05-10,30.18000031,30.18000031,29.63999939,29.75,1380600,0,0,-1.42%
77,2018-05-11,29.85000038,30.54999924,29.64999962,30.29999924,1820800,0,0,1.51%
78,2018-05-14,31.77000046,33.33000183,31.70999908,32.38000107,6968300,0,0,1.92%
79,2018-05-15,32.50999832,32.77999878,31.94000053,32.50999832,3356100,0,0,0.00%
80,2018-05-16,32.5,32.86000061,32.00999832,32.00999832,2076600,0,0,-1.51%
81,2018-05-17,32,33.65000153,31.40999985,33.13999939,5279400,0,0,3.56%
82,2018-05-18,33.27000046,36.08000183,33.02000046,36.04000092,6417800,0,0,8.33%
83,2018-05-22,37.90000153,39.5,36.79000092,39.43999863,7385300,0,0,4.06%
84,2018-05-23,38.5,39.41999817,37.75999832,38.75999832,6617100,0,0,0.68%
85,2018-05-24,39.90000153,40,36.24000168,36.34999847,7374300,0,0,-8.90%
86,2018-05-25,36.50999832,37.27000046,34.65999985,35,5860300,0,0,-4.14%
87,2018-05-28,34.93999863,36.81999969,33.75999832,36.61999893,4463700,0,0,4.81%
